cora
ACC,   NMI,   ARI,   F1
77.51, 58.25, 56.30, 76.29
79.73, 60.87, 60.98, 77.86
75.74, 60.64, 56.30, 73.87
79.73, 60.87, 61.18, 77.80
77.84, 59.67, 57.99, 76.26
76.33, 59.81, 57.27, 74.21
77.66, 61.76, 60.12, 75.27
76.55, 60.63, 58.40, 74.01
78.55, 59.40, 58.74, 76.78
75.92, 57.52, 53.74, 75.06
77.56, 1.38
59.94, 1.23
58.10, 2.20
75.74, 1.41
citeseer
ACC,   NMI,   ARI,   F1
71.84, 45.60, 47.34, 62.49
71.75, 45.14, 47.14, 62.28
70.03, 44.28, 45.44, 65.60
71.69, 45.92, 47.67, 62.88
71.18, 44.77, 46.73, 67.84
69.97, 42.89, 45.02, 61.10
72.47, 46.48, 48.28, 62.98
70.84, 43.27, 46.01, 62.68
72.14, 45.23, 47.86, 63.24
70.42, 44.49, 45.58, 61.05
71.23, 0.84
44.81, 1.07
46.71, 1.07
63.21, 1.95
amap
ACC,   NMI,   ARI,   F1
77.20, 67.30, 57.96, 72.03
76.98, 67.10, 57.53, 71.65
77.31, 67.48, 58.14, 72.01
77.11, 67.34, 57.79, 71.88
77.41, 67.01, 58.21, 71.66
78.30, 67.36, 59.35, 71.96
77.37, 67.79, 58.10, 72.21
77.44, 66.94, 58.14, 71.75
77.11, 67.61, 57.58, 73.31
77.44, 67.58, 58.36, 72.16
77.37, 0.35
67.35, 0.26
58.12, 0.48
72.06, 0.45
bat
ACC,   NMI,   ARI,   F1
77.86, 52.64, 50.90, 77.77
77.10, 54.35, 51.34, 76.85
77.86, 53.67, 51.59, 77.76
78.63, 54.87, 53.15, 78.46
77.10, 53.04, 50.59, 76.98
80.15, 55.94, 54.99, 80.10
79.39, 55.18, 53.83, 79.31
77.86, 53.03, 51.07, 77.76
80.15, 56.12, 55.59, 79.90
77.86, 54.15, 52.09, 77.67
78.40, 1.08
54.30, 1.16
52.52, 1.69
78.26, 1.09
eat
ACC,   NMI,   ARI,   F1
57.89, 34.17, 27.09, 58.27
58.15, 34.20, 27.34, 58.40
57.89, 34.21, 27.15, 58.20
57.64, 34.59, 27.82, 57.89
58.15, 34.79, 28.34, 58.33
58.40, 35.34, 28.56, 58.74
57.14, 34.36, 27.44, 57.63
57.89, 34.95, 28.47, 58.11
57.89, 34.86, 28.01, 58.18
58.15, 34.20, 27.34, 58.40
57.92, 0.33
34.57, 0.38
27.75, 0.53
58.21, 0.29
uat
ACC,   NMI,   ARI,   F1
57.48, 29.19, 27.22, 57.81
54.71, 26.05, 23.97, 52.89
55.80, 27.45, 26.94, 53.28
54.12, 25.58, 19.56, 50.27
55.88, 24.79, 23.59, 51.56
57.06, 27.15, 24.48, 56.95
55.80, 25.92, 24.24, 56.01
56.05, 26.46, 27.05, 55.18
54.03, 25.12, 20.53, 54.62
57.56, 27.96, 28.01, 56.37
55.85, 1.21
26.57, 1.30
24.56, 2.71
54.49, 2.32
